number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
100,1.000000,11005.000000,7073.000000,2776.000000,775.000000,126.000000
101,1.000000,11091.000000,6927.000000,2544.000000,660.000000,145.000000
102,1.000000,10552.000000,6832.000000,2537.000000,615.000000,117.000000
103,1.000000,10351.000000,6410.000000,2347.000000,599.000000,100.000000
104,1.000000,10241.000000,6206.000000,2285.000000,558.000000,107.000000
105,1.000000,9825.000000,6176.000000,2195.000000,484.000000,91.000000
106,1.000000,9767.000000,6192.000000,2066.000000,460.000000,69.000000
107,1.000000,9991.000000,6014.000000,2082.000000,431.000000,69.000000
108,1.000000,9786.000000,5894.000000,1875.000000,407.000000,62.000000
109,1.000000,9809.000000,5825.000000,1756.000000,365.000000,37.000000
110,1.000000,9711.000000,5705.000000,1687.000000,345.000000,48.000000
111,1.000000,9982.000000,5521.000000,1644.000000,271.000000,31.000000
112,1.000000,10097.000000,5644.000000,1546.000000,287.000000,37.000000
113,1.000000,10254.000000,5432.000000,1501.000000,246.000000,29.000000
114,1.000000,10307.000000,5328.000000,1423.000000,227.000000,19.000000
115,1.000000,10406.000000,5208.000000,1321.000000,220.000000,24.000000
116,1.000000,10986.000000,5166.000000,1260.000000,192.000000,24.000000
117,1.000000,10947.000000,5270.000000,1122.000000,166.000000,18.000000
118,1.000000,11337.000000,4958.000000,1126.000000,150.000000,10.000000
119,1.000000,11622.000000,4860.000000,1016.000000,150.000000,8.000000
120,1.000000,11892.000000,4866.000000,950.000000,124.000000,11.000000
121,1.000000,12538.000000,4811.000000,897.000000,126.000000,12.000000
122,1.000000,12733.000000,4613.000000,790.000000,84.000000,7.000000
123,1.000000,13020.000000,4410.000000,767.000000,81.000000,7.000000
124,1.000000,13544.000000,4486.000000,680.000000,81.000000,3.000000
125,1.000000,13738.000000,4242.000000,642.000000,50.000000,5.000000
126,1.000000,14631.000000,4172.000000,520.000000,42.000000,3.000000
127,1.000000,14890.000000,3853.000000,475.000000,41.000000,1.000000
128,1.000000,15420.000000,3657.000000,480.000000,41.000000,1.000000
129,1.000000,16148.000000,3629.000000,372.000000,17.000000,2.000000
130,1.000000,16456.000000,3221.000000,333.000000,24.000000,2.000000
131,1.000000,17276.000000,3165.000000,302.000000,22.000000,1.000000
132,1.000000,17791.000000,2941.000000,214.000000,6.000000,1.000000
133,1.000000,18212.000000,2742.000000,205.000000,11.000000,1.000000
134,1.000000,18914.000000,2416.000000,171.000000,8.000000,1.000000
135,1.000000,19523.000000,2094.000000,122.000000,2.000000,1.000000
136,1.000000,20122.000000,1757.000000,90.000000,5.000000,1.000000
137,1.000000,20991.000000,1528.000000,49.000000,2.000000,1.000000
138,1.000000,21404.000000,1208.000000,35.000000,1.000000,1.000000
139,1.000000,22054.000000,875.000000,13.000000,1.000000,1.000000
140,1172831.000000,26060.000000,452.000000,4.000000,1.000000,1.000000


number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
32,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,16.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,60.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,131.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,210.000000
45,1.000000,1.000000,1.000000,1.000000,4.000000,308.000000
46,1.000000,1.000000,1.000000,1.000000,40.000000,491.000000
47,1.000000,1.000000,1.000000,1.000000,90.000000,691.000000
48,1.000000,1.000000,1.000000,1.000000,196.000000,867.000000
49,1.000000,1.000000,1.000000,1.000000,312.000000,1049.000000
50,1.000000,1.000000,1.000000,1.000000,406.000000,1287.000000
51,1.000000,1.000000,1.000000,1.000000,572.000000,1448.000000
52,1.000000,1.000000,1.000000,1.000000,744.000000,1760.000000
53,1.000000,1.000000,1.000000,3.000000,972.000000,1891.000000
54,1.000000,1.000000,1.000000,69.000000,1327.000000,2119.000000
55,1.000000,1.000000,1.000000,229.000000,1507.000000,2389.000000
56,1.000000,1.000000,1.000000,441.000000,1860.000000,2475.000000
57,1.000000,1.000000,1.000000,699.000000,2112.000000,2577.000000
58,1.000000,1.000000,1.000000,871.000000,2331.000000,2790.000000
59,1.000000,1.000000,1.000000,1062.000000,2637.000000,2730.000000
60,1.000000,1.000000,1.000000,1339.000000,2851.000000,2775.000000
61,1.000000,1.000000,1.000000,1600.000000,3009.000000,2844.000000
62,1.000000,1.000000,1.000000,1828.000000,3386.000000,2743.000000
63,1.000000,1.000000,1.000000,2098.000000,3547.000000,2804.000000
64,1.000000,1.000000,1.000000,2574.000000,3730.000000,2774.000000
65,1.000000,1.000000,1.000000,2894.000000,3875.000000,2750.000000
66,1.000000,1.000000,1.000000,3401.000000,4014.000000,2548.000000
67,1.000000,1.000000,201.000000,3716.000000,4058.000000,2459.000000
68,1.000000,1.000000,1195.000000,4313.000000,4104.000000,2338.000000
69,1.000000,1.000000,1866.000000,4664.000000,4133.000000,2292.000000
70,1.000000,1.000000,2539.000000,4956.000000,3988.000000,2185.000000
71,1.000000,1.000000,2831.000000,5013.000000,3943.000000,2015.000000
72,1.000000,1.000000,3270.000000,5267.000000,3804.000000,1947.000000
73,1.000000,1.000000,3550.000000,5210.000000,3834.000000,1758.000000
74,1.000000,1.000000,3882.000000,5376.000000,3765.000000,1674.000000
75,1.000000,1.000000,4204.000000,5314.000000,3619.000000,1534.000000
76,1.000000,1.000000,4372.000000,5476.000000,3422.000000,1460.000000
77,1.000000,1.000000,4507.000000,5506.000000,3320.000000,1340.000000
78,1.000000,1.000000,4704.000000,5377.000000,3266.000000,1291.000000
79,1.000000,1.000000,4905.000000,5535.000000,3076.000000,1150.000000
80,1.000000,1.000000,5173.000000,5426.000000,2857.000000,1091.000000
81,1.000000,1.000000,5459.000000,5464.000000,2770.000000,961.000000
82,1.000000,1.000000,5724.000000,5534.000000,2711.000000,912.000000
83,1.000000,1.000000,5989.000000,5456.000000,2512.000000,823.000000
84,1.000000,1.000000,6573.000000,5375.000000,2368.000000,788.000000
85,1.000000,1.000000,6921.000000,5293.000000,2272.000000,664.000000
86,1.000000,1.000000,7245.000000,5399.000000,2118.000000,686.000000
87,1.000000,1.000000,7865.000000,5391.000000,1948.000000,566.000000
88,1.000000,1.000000,8610.000000,5233.000000,1915.000000,493.000000
89,1.000000,1.000000,9135.000000,5127.000000,1719.000000,473.000000
90,1.000000,127.000000,9914.000000,4960.000000,1515.000000,377.000000
91,1.000000,15132.000000,10602.000000,4695.000000,1433.000000,347.000000
92,1.000000,14625.000000,9885.000000,4239.000000,1334.000000,323.000000
93,1.000000,14146.000000,9387.000000,4104.000000,1266.000000,317.000000
